city,o,d,planned_length_m,actual_length_m,length_delta_m,length_delta_pct,planned_friction_cost,actual_friction_cost,friction_savings_pct,overlap_pct,diverges_completely,planned_n_edges,actual_n_edges,great_circle_m,circuity
Mindelo,13620771035,2302851699,728.1245847720144,728.1245847720144,0.0,0.0,1006.1974463113967,1006.1974463113967,0.0,100.0,False,8,8,559.608822923603,1.3011313527331874
Mindelo,1460476698,8454098863,441.42779673254523,441.42779673254523,0.0,0.0,507.64196624242703,507.64196624242703,0.0,100.0,False,9,9,306.60559718983546,1.4397251738990084
Mindelo,7741990103,2295386642,2912.3719387119577,2912.3719387119577,0.0,0.0,3697.742822445685,3697.742822445685,0.0,100.0,False,30,30,1857.573344393727,1.5678368488122847
Mindelo,13658425882,1460394606,1819.3367458162836,1819.3367458162836,0.0,0.0,2288.4028862698206,2288.4028862698206,0.0,100.0,False,19,19,1388.0344969632383,1.310728767762368
Mindelo,7762651298,13041426259,325.2260886829006,358.8748632133223,33.64877453042175,10.346271624977083,591.1245361580045,544.4766941390031,7.8913729959828025,40.0,False,10,10,279.55298082400253,1.283745435858036
Mindelo,1460394571,2297808417,221.58830705680774,221.58830705680774,0.0,0.0,266.19461287376566,266.19461287376566,0.0,100.0,False,3,3,168.61137022129208,1.3141955181669343
Mindelo,1486919301,1486919210,1135.0547507810093,1135.0547507810093,0.0,0.0,1322.8572553751515,1322.8572553751515,0.0,100.0,False,12,12,1048.5786880314279,1.082469788616369
Mindelo,1428182581,1487706853,2437.06930939526,2453.4685411547794,16.399231759519353,0.672907893768056,2951.8402448973247,2947.542925483349,0.14558102937326584,90.47619047619048,False,21,21,2090.549882093716,1.1735996171005474
Mindelo,1460475769,2295378462,2182.5511655786468,2198.950397338167,16.399231759520262,0.7513790291909346,2853.273816818943,2848.684279764858,0.16085161637946105,92.85714285714286,False,28,28,1163.2107901422332,1.890414373708902
Mindelo,13319633436,914326685,2314.7328785811,2360.955692512296,46.222813931196015,1.996896244871675,3058.3934957779293,3035.99481423046,0.7323675510816438,84.61538461538461,False,26,29,1911.8275049417325,1.2349208735671222
Mindelo,7762651287,7656150126,2569.70999251909,2599.5335746907663,29.823582171676208,1.160581632110171,3105.7178408150767,3096.915192749467,0.283433605909906,90.47619047619048,False,21,24,2071.6329300865846,1.254823447212783
