u,v,key,osmid,highway,oneway,reversed,length,grade,grade_abs,elevation_change,service,junction,incline,smoothness
2230475369,1841498444,0,179741843,unclassified,False,True,17.866841346444396,0.0,0.0,0.0,,,,
2230475369,3465548860,0,213324896,residential,False,False,59.874504372902045,0.15031439665784044,0.15031439665784044,9.0,,,,
2230475369,2355658526,0,179741843,unclassified,False,False,119.11703397653372,-0.06716083949484516,0.06716083949484516,-8.0,,,,
2230475387,3465548857,0,213324896,residential,False,True,22.73140309467864,0.0,0.0,0.0,,,,
2230475467,3465556045,0,"[339374528, 213324867]","['steps', 'track']",False,False,532.7955552181841,-0.050676098431307826,0.050676098431307826,-27.0,,,,
2230475467,2230475470,0,213324894,track,False,False,27.506082566412722,0.0,0.0,0.0,,,,
2230475467,11253761307,0,213324894,track,False,True,188.30168583480136,0.0,0.0,0.0,,,,
2230475470,2230475555,0,213324893,track,False,True,836.663332150752,-0.07437292854020464,0.07437292854020464,-46.0,,,,
2230475470,2230475555,1,213324894,track,False,False,618.5046212767223,-0.07437292854020464,0.07437292854020464,-46.0,,,,
2230475470,2230475467,0,213324894,track,False,True,27.506082566412722,0.0,0.0,0.0,,,,
2230475555,2230475470,0,213324893,track,False,False,836.6633321507519,0.07437292854020465,0.07437292854020465,46.0,,,,
2230475555,2230475470,1,213324894,track,False,True,618.5046212767222,0.07437292854020465,0.07437292854020465,46.0,,,,
2230475555,13604950651,0,"[217272771, 213324893]",track,False,True,255.17742297258917,-0.03526957790841382,0.03526957790841382,-9.0,,,,
2265527318,11584727087,0,179741836,service,False,False,42.19413210268295,0.1373483355809961,0.1373483355809961,6.0,parking_aisle,,,
2265527318,11584727087,1,1246109258,footway,False,False,43.68454830282033,0.1373483355809961,0.1373483355809961,6.0,,,,
2265527318,2355658529,0,217273070,footway,False,False,22.367203247333148,0.0,0.0,0.0,,,,
2265527318,1841498435,0,1246109258,footway,False,True,87.17935915193667,0.0,0.0,0.0,,,,
2265527318,1841498435,1,179741836,service,False,True,87.179542452384,0.0,0.0,0.0,parking_aisle,,,
2265527318,3465416745,0,217273070,footway,False,True,27.6098706054327,0.0,0.0,0.0,,,,
2265527328,3465416744,0,339351405,footway,False,False,33.63040846120485,0.17840996510409443,0.17840996510409443,6.0,,,,
2265527328,3465416745,0,217273070,footway,False,False,75.20746021907902,0.0,0.0,0.0,,,,
