cell_x,cell_y,mean_circuity,n_pairs
1400,9060,2.4189869990615223,1
1401,9058,1.681866126961449,50
1400,9059,1.5502544283177295,33
1400,9058,1.4878187148193307,58
1401,9059,1.374517316908596,38
1399,9059,1.3504404981673748,20
