city,n_pairs,planned_length_m,actual_length_m,length_delta_m,length_delta_pct,planned_friction_cost,actual_friction_cost,friction_savings_pct,overlap_pct,diverges_completely,planned_n_edges,actual_n_edges
Maastricht,200,4243.884302401541,4366.98839854476,123.10409614321792,2.875192151296521,5324.120516548745,4955.683356272125,6.022118349333937,57.71233496783645,0.005,82.43,88.35
Matosinhos,200,5073.052673499631,5310.213236673835,237.160563174204,4.244590999355101,7096.578463789422,6600.517729207197,6.201847800792985,50.803269965679654,0.0,90.025,94.165
Sabanci_University,200,526.2841631329875,539.2237100311759,12.939546898188432,2.324124390446867,677.0778046811887,657.8507547667474,2.429147166080974,81.50101928379351,0.01,13.955,14.16
Lanaken,200,4761.169397244219,4929.511189753777,168.34179250955873,3.167428459593414,6229.000190672748,5716.356761373093,6.036841832531017,65.02201492010614,0.03,46.615,42.1
Mindelo,200,1802.8661350052953,1815.7286221591885,12.862487153893323,0.6100364156137364,2282.379404358823,2251.787116303364,1.061024653835946,89.83561770894012,0.005,20.235,20.505
