city,n_pairs,mean_circuity,median_circuity,max_circuity,betweenness_method,top_choke_node,top_choke_betweenness
Maastricht,200,1.4476093703634874,1.3522311044605568,3.2792980461122583,"k-sample (k=500, seed=42)",618628852,0.2813712412028151
Matosinhos,200,1.3577604972561652,1.320063779222516,3.157913922741666,"k-sample (k=500, seed=42)",10024023734,0.17421237194641448
Sabanci_University,200,1.5160232147350718,1.3852675143302648,11.796042335065952,exact,2265527528,0.25988158835974007
Lanaken,200,1.3624091214195304,1.3029506839745166,4.518440285192644,exact,1477629854,0.1368685670769194
Mindelo,200,1.3376149819681802,1.306898249892452,3.5424173024448993,exact,1428182504,0.40911503092995816
