location,nodes,edges,total_length_km,avg_edge_length_m,elev_min_m,elev_max_m,elev_mean_m,grade_mean_abs,grade_max_abs
Maastricht,12506,35090,1948.7833354736617,55.53671517451302,39.0,158.0,59.92763473532704,0.01543737538643101,2.407071984703025
Matosinhos,15230,39988,2025.8750882287911,50.66207582846832,-6.0,125.0,49.34990151017728,0.03228813241089325,7.0443978298350025
Sabanci_University,364,958,41.864330875727084,43.69971907695938,126.0,187.0,155.1868131868132,0.03877003219043146,1.2159734776872508
Lanaken,3552,9614,1024.698549042368,106.58399719600251,39.0,112.0,66.02590090090091,0.019597769924874633,6.5184219482414045
Mindelo,504,1320,106.26852982036839,80.50646198512757,0.0,59.0,27.3015873015873,0.025292706518148123,0.6129398129294852
