osmid,y,x,highway,street_count,elevation
315885403,50.9254867,5.7033855,,3,41.0
315885408,50.9248322,5.7061063,,1,44.0
315885564,50.9183865,5.6836421,,3,43.0
315885566,50.9184633,5.6825668,,3,43.0
315885571,50.9188931,5.6801554,,3,47.0
315885574,50.9189755,5.6792453,,3,47.0
315885581,50.9203129,5.6746216,,3,47.0
315885583,50.9203991,5.673261,,3,47.0
315885725,50.9229475,5.6733017,,3,51.0
315885732,50.9263298,5.6710322,,3,47.0
315885761,50.9270507,5.6710453,,3,47.0
315885815,50.9232436,5.6709335,,3,46.0
315885898,50.9259048,5.6710175,,3,47.0
315885905,50.9230778,5.6686467,,3,55.0
315885906,50.9231029,5.6720084,,3,46.0
315885911,50.9204143,5.6710305,,3,47.0
324597910,50.9328919,5.6819906,,3,48.0
325698112,50.8996586,5.6505557,,3,57.0
325698243,50.9013475,5.6531082,,3,55.0
325698266,50.9005959,5.6536389,,3,55.0
325698298,50.8997395,5.6505458,,3,57.0
325698303,50.9005043,5.6490673,,1,55.0
325698549,50.9016625,5.635103,,3,65.0
325698581,50.900691,5.6339832,,3,65.0
325698582,50.9006276,5.6338508,,3,65.0
325698613,50.8999564,5.6322422,,3,66.0
325698614,50.8991883,5.6303477,,3,69.0
325698616,50.89863,5.628926,,3,73.0
325698617,50.8978787,5.627186,,3,71.0
325698623,50.8992333,5.63305,,3,66.0
325698624,50.8985388,5.6338055,,4,67.0
325698677,50.8974739,5.6402771,,3,68.0
325698689,50.8985763,5.6399358,,4,66.0
325698745,50.8986723,5.6317355,turning_circle,1,66.0
325698756,50.8949582,5.6249069,,4,71.0
325698758,50.8964873,5.6287106,,4,71.0
325698761,50.8993138,5.6357315,,3,64.0
325703074,50.8966857,5.625786,,1,72.0
325703076,50.896478,5.6253016,,3,72.0
325703080,50.8973797,5.6242542,,3,75.0
325703082,50.8978775,5.6236861,,3,75.0
325705938,50.9014726,5.6444883,,3,61.0
325708067,50.8957635,5.6679183,,3,51.0
325708189,50.8926062,5.6649433,,3,51.0
325735141,50.8852819,5.6149192,,3,75.0
325735147,50.8854835,5.6144853,,3,84.0
325735173,50.8873398,5.612353,,3,94.0
325735265,50.8883077,5.6071205,,3,96.0
325735276,50.8884894,5.6068184,,3,96.0
325735282,50.8898296,5.6064405,,3,99.0
325735286,50.8910859,5.6061961,,3,98.0
325735302,50.8913881,5.606086,,3,98.0
