city,o,d,planned_length_m,actual_length_m,length_delta_m,length_delta_pct,planned_friction_cost,actual_friction_cost,friction_savings_pct,overlap_pct,diverges_completely,planned_n_edges,actual_n_edges
Maastricht,41991978,8119587681,9664.108661045937,9932.70610171229,268.5974406663536,2.7793296835435575,13037.033047009661,11960.411725044618,8.258177440241981,43.15068493150685,False,146,157
Maastricht,7547822475,1687024731,3069.067525237693,3111.8693910671036,42.80186582941042,1.3946211830609851,3686.197569744821,3364.7744638566746,8.719638592523872,61.53846153846154,False,39,46
Maastricht,41952278,41951723,4784.713148712618,4849.678093779564,64.9649450669458,1.357760497814281,5763.081313123481,5618.358865809756,2.5111991216255807,81.92771084337349,False,88,83
Maastricht,10612009469,41950447,9829.73632540318,10147.12414704195,317.3878216387693,3.228853868832043,12923.54553009973,12430.109832490716,3.81811397235976,61.392405063291136,False,158,177
Maastricht,8316045450,13646064236,6989.594321734116,7075.799799489036,86.20547775491923,1.2333402167113423,8084.743562745777,7891.508761855206,2.390116636240516,72.10884353741497,False,154,147
Maastricht,41968900,4439692634,5263.601779170363,5408.140460128897,144.5386809585334,2.7460033456656223,6453.064700590894,6266.548167526038,2.8903558497991986,77.04918032786885,False,122,128
Maastricht,13312038072,41971226,2270.918876674571,2270.918876674571,0.0,0.0,2509.9244112898214,2509.9244112898214,0.0,100.0,False,55,55
Maastricht,41998011,41997257,6829.13653323631,6883.188865311581,54.0523320752709,0.7914958474209277,8071.754916903756,7830.415048793708,2.989930573890907,62.06896551724138,False,152,145
Maastricht,6331028935,41984506,1687.0802333006486,1921.719892952262,234.63965965161333,13.908032055627732,2681.5412455323817,2644.0751926449375,1.3971835394986016,45.45454545454545,False,33,37
Maastricht,8316045449,41975773,1159.6746281346832,1185.0583317273909,25.38370359270766,2.188864270794379,1235.8990762147548,1206.7489667949728,2.3586156815539803,61.53846153846154,False,28,26
Maastricht,12802934953,10845532163,4166.888801394033,4259.259656723266,92.37085532923265,2.216782346059486,5197.235851338982,4954.872446782607,4.663313566844075,53.84615384615385,False,94,91
Maastricht,41960445,303941783,4838.612846529522,4918.636209850335,80.02336332081268,1.6538492716607642,6027.765884545881,5722.165637809175,5.069875847703554,73.97260273972603,False,75,73
Maastricht,360693896,4642401327,5061.815123688564,5351.887587525861,290.0724638372967,5.730601706091545,6950.237798392957,5757.946466663301,17.154684002399733,6.428571428571429,False,140,152
Maastricht,10689584458,42001733,4413.201701179403,4594.461502940083,181.2598017606797,4.107217708001858,5707.153373788895,5121.958920357795,10.253701190486803,14.130434782608695,False,96,92
Maastricht,41959839,7113186037,3741.60385845695,3784.279362718687,42.67550426173693,1.1405671438273652,4235.327189200116,4110.543685322791,2.946254168875469,74.64788732394366,False,71,75
Maastricht,41962542,11609838862,5844.554261753162,5982.250897830324,137.6966360771621,2.3559818235968937,7135.767725673138,6752.986395517884,5.364262751687932,31.506849315068493,False,150,146
Maastricht,41956843,11530643063,7183.360194076281,7379.306100445359,195.94590636907833,2.7277750394677973,8980.273603410877,8724.646720779132,2.84653779963511,73.55371900826447,False,121,142
Maastricht,503697497,9799031623,3996.4913571000425,4044.663246947128,48.17188984708537,1.205354535835657,4720.944908925929,4579.64683581431,2.9930040667169227,76.19047619047619,False,105,110
Maastricht,41962064,42046203,8815.175540648845,9116.37664096872,301.20110031987497,3.416847445986367,11417.09254273743,11117.80193622738,2.621425773590945,72.26277372262774,False,137,159
Maastricht,4456970477,10314662990,1904.4526584750733,1905.266679435219,0.8140209601456263,0.04274303992399718,2124.5966072219067,2117.069544426784,0.3542819737891306,88.37209302325581,False,43,45
Maastricht,11267663011,1313433481,5930.706772665667,6016.489349009725,85.78257634405782,1.4464140553942988,7041.445767306019,6936.837960561841,1.4856012557801672,76.22950819672131,False,122,130
Maastricht,8302396082,610303322,3329.175483950816,3386.3472433567053,57.171759405889134,1.717294858186387,3894.112916285899,3707.636219136724,4.788682330429993,50.0,False,58,62
Maastricht,13629979106,2477872443,1286.248793599605,1287.7576675920482,1.5088739924431138,0.11730809777636297,1451.8092651141137,1440.5595854442606,0.7748731145457222,90.3225806451613,False,31,32
Maastricht,1023605723,4987050654,4412.0955131066285,4456.317719528491,44.22220642186221,1.0022948571828318,5536.9398293475815,4939.93842808539,10.782154396872615,50.0,False,78,79
Maastricht,11199390527,41970721,1688.1954248804436,1826.32077962765,138.1253547472063,8.181834443544247,2068.730613318582,1939.0594136239536,6.268152985207422,2.4390243902439024,False,42,41
Maastricht,295265829,41977974,4308.57248373014,4390.477350328364,81.90486659822363,1.9009745549717343,5182.460505482905,5019.5291894182465,3.1438988467404982,53.84615384615385,False,107,104
Maastricht,2885650464,42042703,9748.002344607645,9911.923042095368,163.92069748772337,1.6815824585680397,12306.441037168423,11856.903027656861,3.6528676987428637,62.893081761006286,False,159,179
Maastricht,11603302899,11372949764,4668.953554875244,4708.807064724008,39.85350984876459,0.8535854850633546,5694.964513434316,5635.362216034079,1.046578907728686,73.4375,False,64,67
Maastricht,1546992741,423338023,3267.1063484693755,3713.6379935532605,446.531645083885,13.667496477213945,5126.984525483165,4733.565536068747,7.673496720322998,26.31578947368421,False,38,68
Maastricht,6258221220,258892323,4314.650020625994,4361.146105835418,46.496085209423654,1.0776328320292763,5275.547451173597,5077.695050013257,3.7503671986937803,48.148148148148145,False,89,81
Maastricht,8647149930,41968443,5972.731806015112,6086.430045992365,113.69823997725325,1.9036220555349272,6964.794693119552,6540.306963968034,6.094762988072925,49.32432432432432,False,151,148
Maastricht,41967829,401544881,3262.6448193921783,3267.791900812316,5.147081420137511,0.1577579450127335,3810.171159536344,3798.219348550977,0.31368173462373933,95.38461538461539,False,68,65
Maastricht,5436382574,561197216,7850.822923869489,7924.410855258275,73.58793138878536,0.9373276165107488,9557.622528459771,9319.193038409494,2.494652716617599,60.638297872340424,False,97,94
Maastricht,5373721374,8278906342,4347.137361646042,4520.298506155908,173.16114450986606,3.9833373115290436,5170.331796343391,5142.56290581698,0.5370814025136692,18.9873417721519,False,79,92
Maastricht,671767265,41978001,2932.792248791336,3022.2521475132903,89.45989872195423,3.050331940792004,3936.5777114095326,3342.474259086355,15.09187664710048,53.7037037037037,False,54,63
