osmid,y,x,street_count,elevation,highway,ref
423327372,50.8369267,5.7167968,1,53.0,,
423327375,50.836293,5.7171006,3,53.0,,
423327381,50.8359238,5.7138153,1,52.0,,
423337108,50.8322537,5.7081362,3,48.0,,
423337112,50.8330785,5.7084369,1,49.0,,
423337113,50.8327333,5.7083108,3,48.0,,
423337114,50.8327176,5.7084424,4,49.0,,
423337120,50.8332827,5.7086644,4,49.0,crossing,
423338023,50.8343935,5.7081655,4,48.0,,
423348504,50.8340567,5.7142874,3,53.0,,
423348508,50.8340368,5.7157512,1,57.0,,
423348512,50.8340368,5.7157293,1,57.0,,
423348515,50.8338277,5.715698,3,57.0,,
423348517,50.8338351,5.715389,1,57.0,,
423348522,50.8327956,5.7160942,4,51.0,,
423348526,50.8340339,5.7161359,4,57.0,,
423348528,50.8328608,5.7160969,3,51.0,,
423348530,50.8328723,5.7157621,1,51.0,,
423348533,50.8340298,5.7165769,3,57.0,,
423348540,50.8338527,5.7165728,3,57.0,,
423367774,50.8373345,5.7168999,3,53.0,,
423367779,50.8373998,5.7168982,3,53.0,,
423371302,50.8379096,5.7145077,3,52.0,,
423371303,50.8379798,5.7153505,3,49.0,,
423371304,50.8379737,5.7152103,1,49.0,,
423371306,50.8379058,5.7147354,1,49.0,,
423371311,50.837704,5.7153348,3,49.0,,
423371312,50.8377004,5.7156837,1,49.0,,
423376538,50.8371322,5.7138532,3,52.0,,
423376544,50.8387229,5.7162451,3,49.0,,
423377468,50.8387292,5.715365,1,49.0,,
428042588,50.8373122,5.7173934,4,53.0,crossing,
429897935,50.8202315,5.7143647,3,47.0,,
429897942,50.8204496,5.7139633,3,47.0,,
429898157,50.8204411,5.7143697,3,47.0,,
430466529,50.8219304,5.6963395,3,51.0,,
430466531,50.8219375,5.6959457,3,51.0,,
430466537,50.8242342,5.6960492,1,45.0,,
430466540,50.8306476,5.6954332,4,56.0,crossing,
430472945,50.8375454,5.6950725,4,52.0,crossing,
430472946,50.8375605,5.6952674,4,52.0,,
430472955,50.8428374,5.698238,3,44.0,,
430472958,50.8425655,5.6978805,3,53.0,,
432432702,50.8431841,5.7300685,4,57.0,,
432432704,50.8427439,5.7353965,3,58.0,,
437535049,50.850312,5.731675,3,54.0,,
438172646,50.8378909,5.7196291,1,49.0,,
438174416,50.8377121,5.7214235,3,47.0,,
438222079,50.841272,5.7277626,3,57.0,,
438222080,50.8413616,5.7269063,3,55.0,,
438222082,50.8411549,5.7277426,3,57.0,,
438222515,50.8433987,5.7289536,3,52.0,,
438222522,50.844486,5.7266316,3,50.0,,
438222523,50.8442118,5.7266234,3,50.0,,
441242520,50.8413668,5.733337,4,61.0,,
441243513,50.8348766,5.7268,1,58.0,,
441245297,50.8463865,5.7159945,1,49.0,,
441247240,50.8496043,5.7155999,1,51.0,,
442973002,50.8371581,5.7158334,3,56.0,,
442974045,50.8346984,5.7161567,3,57.0,,
442974065,50.8355333,5.716211,1,56.0,,
442974077,50.836301,5.7162569,3,56.0,,
442974110,50.8355609,5.7162123,3,56.0,,
442978728,50.836158,5.7212949,3,48.0,,
442978732,50.835937,5.7209436,3,48.0,,
442978767,50.8368854,5.7196334,3,50.0,,
442978768,50.8368878,5.7198886,1,50.0,,
442978776,50.8360442,5.7212262,3,48.0,,
442979378,50.8372041,5.7197961,1,50.0,,
455344027,50.8134913,5.6797034,3,99.0,,
455348958,50.8176428,5.6782341,3,75.0,,
455352301,50.8188207,5.6775468,3,87.0,,
455352838,50.8189644,5.6789918,3,87.0,,
455352908,50.8202936,5.6790781,3,87.0,,
455359364,50.8233766,5.6658938,3,73.0,,
455363400,50.8234082,5.6653885,3,73.0,,
455367418,50.8231576,5.6589384,3,103.0,,
455373812,50.8190519,5.6653211,3,100.0,,
455373830,50.818231,5.6665361,3,95.0,,
474819653,50.8496332,5.6888077,1,55.0,,
475573267,50.8439042,5.7234395,4,51.0,crossing,
475573569,50.8435747,5.7267612,3,50.0,,
477851603,50.8547956,5.6846748,3,48.0,,
479437078,50.8335901,5.7271965,3,62.0,,
479437092,50.833799,5.7271221,3,62.0,,
479437094,50.8337244,5.7273252,3,62.0,,
482851439,50.8430124,5.7276052,3,52.0,,
